Height	Wight	Size	New Height	New Weight	Euclidean Distance		
158	58	M	161	61	4.242640687		
158	59	M	161	61	3.605551275	7	
158	63	M	161	61	3.605551275	8	
160	59	M	161	61	2.236067977	4	M
160	60	M	161	61	1.414213562	1	M
163	60	M	161	61	2.236067977	3	M
163	61	M	161	61	2	2	M
160	64	L	161	61	3.16227766	5	L
163	64	L	161	61	3.605551275	6	
165	61	L	161	61	4		
165	62	L	161	61	4.123105626		
165	65	L	161	61	5.656854249		
168	62	L	161	61	7.071067812		
168	63	L	161	61	7.280109889		
168	66	L	161	61	8.602325267		
170	63	L	161	61	9.219544457		
170	64	L	161	61	9.486832981		
170	68	L	161	61	11.40175425		
